Recipe ID,Ingredient ID
1,49
2,142
2,144
2,52
2,154
2,48
2,103
2,21
2,76
3,43
3,132
3,4
3,76
3,202
4,215
4,141
4,135
4,191
4,151
5,119
5,144
5,87
5,83
5,92
5,61
5,194
5,80
5,141
6,205
6,232
6,27
6,76
6,211
6,226
7,127
7,186
8,196
8,67
8,108
8,26
8,141
9,164
9,36
9,27
9,75
9,199
9,90
9,129
9,175
9,107
10,28
10,36
10,116
10,199
10,107
10,227
10,129
10,81
11,226
11,36
11,76
11,239
11,227
11,129
11,166
11,7
11,18
11,20
12,81
13,45
13,186
13,57
14,45
14,121
14,123
14,104
15,208
15,162
16,3
16,144
16,186
16,218
16,82
16,58
17,38
17,110
17,196
17,40
17,41
18,143
18,143
18,83
18,49
18,191
18,219
18,169
18,129
18,189
18,151
19,144
19,39
19,160
19,141
19,183
19,52
19,148
19,203
19,69
19,56
19,219
19,185
19,111
19,19
20,142
20,143
20,83
20,35
20,30
20,25
20,205
20,75
21,48
21,52
21,83
21,219
21,143
21,19
21,111
21,153
21,106
21,68
21,142
21,220
22,156
22,24
22,141
22,143
22,83
22,101
22,74
22,136
22,39
23,215
23,141
23,194
23,83
23,207
23,119
23,128
23,129
24,142
24,143
24,83
24,160
24,3
24,219
24,34
24,173
24,155
24,10
24,151
25,142
25,83
25,22
25,152
25,10
25,45
26,142
26,143
26,35
26,130
26,43
26,219
26,16
26,194
26,94
26,170
26,27
26,80
27,237
27,5
27,194
27,159
27,27
27,192
27,23
27,75
27,27
27,194
27,159
27,192
27,144
28,28
28,168
28,35
28,24
28,143
28,75
28,186
28,156
28,205
28,86
28,95
29,56
29,219
29,28
29,160
30,118
30,112
30,76
30,66
31,171
31,141
31,169
31,42
31,160
32,116
32,150
32,56
32,218
32,152
33,142
33,171
33,76
33,219
33,133
34,126
34,29
34,182
34,58
34,61
35,114
35,218
35,102
35,48
35,61
36,166
36,141
36,83
36,118
36,119
37,171
37,141
37,62
37,143
37,38
37,148
37,238
37,152
38,9
39,238
40,6
40,1
41,173
41,70
41,176
41,160
41,79
41,105
41,190
41,100
42,22
42,31
42,65
42,8
42,27
43,213
43,143
43,83
43,87
43,47
43,217
43,54
43,91
43,61
43,93
43,10
44,234
44,76
44,89
44,142
44,83
44,154
44,2
44,187
44,131
45,143
45,201
45,83
45,179
45,69
45,50
45,147
45,76
45,221
45,219
45,161
45,39
45,3
45,122
45,61
46,149
46,157
46,151
46,76
46,206
46,83
46,27
47,159
47,142
47,55
47,32
47,96
47,9
47,151
48,189
48,27
48,166
48,129
48,40
48,222
48,215
48,152
49,231
49,180
49,36
49,118
49,152
50,230
50,88
50,85
50,178
50,58
50,47
50,109
50,78
50,26
50,9
50,177
50,87
50,186
51,47
51,45
51,87
51,83
51,138
51,215
51,136
51,208
51,205
51,131
52,17
52,241
52,13
52,141
52,72
52,14
52,134
52,145
52,24
53,121
53,150
53,182
53,47
53,229
53,91
53,87
53,83
53,82
53,69
53,50
53,224
54,143
54,210
54,166
54,143
54,83
54,159
54,219
54,150
54,219
54,235
54,16
54,152
54,205
55,3
55,174
55,215
55,217
55,143
55,159
55,83
55,203
55,42
55,219
55,228
55,207
55,172
56,3
56,64
56,159
56,219
56,142
56,9
56,143
56,83
56,183
56,211
57,144
57,64
57,159
57,142
57,197
57,83
57,35
58,143
58,143
58,38
58,160
58,55
58,196
58,83
58,203
58,69
58,216
58,235
58,32
58,46
58,0
58,53
59,143
59,197
59,143
59,89
59,183
59,219
59,203
59,54
59,184
59,11
59,28
59,23
59,83
59,152
60,143
60,143
60,83
60,189
60,42
60,230
60,151
60,128
60,9
61,36
61,143
61,38
61,142
61,83
61,171
61,219
61,230
61,33
61,28
61,206
61,198
62,144
62,159
62,83
62,141
62,50
62,150
62,69
62,130
62,16
62,54
62,127
62,211
62,219
62,179
62,186
63,230
63,143
63,87
63,83
63,200
63,177
63,121
63,71
63,134
63,61
63,58
63,99
63,171
63,122
63,186
64,187
64,70
64,143
64,58
64,46
64,91
64,234
64,208
65,224
65,147
65,77
65,142
65,83
65,219
65,54
65,211
65,133
65,84
65,40
65,206
66,230
66,12
66,144
66,36
66,38
66,166
66,16
66,97
66,216
66,209
66,30
66,5
66,216
66,199
66,75
66,152
66,17
67,167
67,76
67,129
67,136
67,229
67,197
67,24
67,117
67,39
67,143
67,231
67,216
67,46
68,52
68,141
68,166
68,76
68,129
69,167
69,76
69,129
69,136
69,141
69,5
69,197
69,182
69,89
69,8
69,183
69,16
70,230
70,37
70,27
70,80
70,129
70,39
70,136
70,76
70,144
71,130
71,166
71,27
71,73
71,39
71,156
71,152
71,234
72,30
72,158
72,27
72,117
72,80
72,129
72,156
72,39
73,125
73,27
73,166
73,129
73,39
73,137
73,151
74,171
74,74
74,129
74,39
74,151
74,27
74,118
74,139
74,136
74,235
74,53
74,119
74,98
74,193
74,171
75,171
75,213
75,40
75,230
75,63
75,60
75,172
75,152
76,144
76,15
76,75
76,229
77,28
77,143
77,37
77,170
77,230
77,129
77,39
78,175
78,144
78,114
78,87
78,83
78,56
78,224
78,71
78,219
78,16
78,211
78,215
78,171
78,39
78,156
79,142
79,144
79,36
79,114
79,219
79,16
79,171
79,27
79,129
80,76
80,229
80,181
80,149
80,71
80,207
80,59
80,177
81,76
81,21
82,76
82,21
83,165
83,105
84,76
84,5
84,21
85,7
85,21
86,76
86,27
87,167
87,76
87,129
88,141
88,129
89,22
89,108
90,76
90,129
90,21
